Tax Number,Company name
9701246182,"ООО ""ИНЖЕНЕРНЫЕ РЕШЕНИЯ"""
7839395419,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ"""
2631015563,"АО ""НЕВИННОМЫССКИЙ АЗОТ"""
1646038762,"ООО ТТК ""КАММАРКЕТ"""
7720821959,"ООО ""КОМПАНИЯ ""АМГ"""
6670065565,"НАО ПКП ""РТК"""
2130215280,"ООО ""РАДУГА"""
7714336520,"АО ""АСТ"" ПО ПОРУЧЕНИЮ АО ""РОСОБОРОНЭКСПОРТ"""
5029208152,"ООО ""ТЕСТКОМПЛЕКТ"""
7717585042,"АО""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""КВАНТ"""
7806530373,"ООО ""ГК ""ИНТРАТУЛ"""
5024136585,"АО ""СКАНДА РУС"""
7813132895,"АО ""КОРПОРАЦИЯ ""АЭРОКОСМИЧЕСКОЕ ОБОРУДОВАНИЕ"""
5256118219,"ООО ""РУСАВИАМЕТИЗ"""
7811354892,"ООО ""ПУМОРИ-СЕВЕРО-ЗАПАД"""
7725842590,"ООО ""СФТ"""
7710655004,"ООО ""АЛЬЯНС"""
4524000693,"ОАО ""ШУМИХИНСКИЙ ЗАВОД ПОДШИПНИКОВЫХ ИГЛОРОЛИКОВ"""
5251009791,"ООО ""ГРАНКОМ"""
1215085052,"АО ""ЗПП"""
7713122621,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАДИОТЕХКОМПЛЕКТ"""
7718695873,ООО ГЛОБАЛ ИНЖИНИРИНГ
4502000019,"АО ""ШАДРИНСКИЙ АВТОАГРЕГАТНЫЙ ЗАВОД"""
1657107827,"ООО ""ЭЛИТ"""
5408308016,"ООО ""НАУЧНЫЕ ПРИБОРЫ И СИСТЕМЫ"""
5010054903,"АО ""ДУБНЕНСКИЙ КАБЕЛЬНЫЙ ЗАВОД"""
7813543768,"ООО ""РЕСУРС"""
